"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: intern","Param: merge","Param: parallel","Param: query","Param: size","Param: type","Param: unmatched"
"com.zigurs.karlis.utils.search.bench.AddDeleteOperations.multi","thrpt",8,9,24406.918449,865.681595,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.AddDeleteOperations.single","thrpt",1,9,29727.237303,3248.966273,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.mt","thrpt",8,9,64109.933976,5434.685198,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.mt:addAndRemove_multi","thrpt",8,9,32572.563690,1468.410863,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.mt:read_multi","thrpt",8,9,31537.370285,6692.912577,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.st","thrpt",2,9,281730.040281,21313.654074,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.st:addAndRemove_single","thrpt",2,9,103058.971996,6106.458480,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.st:read_single","thrpt",2,9,178671.068284,19419.973074,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1218083049.740916,10056042.252817,"ops/s",true,UNION,true,,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1200988780.840861,27259503.185245,"ops/s",true,UNION,true,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,2615769.976576,256899.211855,"ops/s",true,UNION,true,nosuchstring,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,406463.565280,23102.945968,"ops/s",true,UNION,true,nosuchstring,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1462650.040153,17911.065934,"ops/s",true,UNION,true,washington,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1462568.182467,23158.461794,"ops/s",true,UNION,true,washington,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,198209.126259,3198.552560,"ops/s",true,UNION,true,"wa sh",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,197384.794477,1998.107811,"ops/s",true,UNION,true,"wa sh",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,12096.693105,107.648700,"ops/s",true,UNION,true,"a b c d e",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,11415.007246,258.149397,"ops/s",true,UNION,true,"a b c d e",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,3734.659936,52.300693,"ops/s",true,UNION,true,"a b c d e g h i l m n p r s u v y",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,3707.127469,195.231385,"ops/s",true,UNION,true,"a b c d e g h i l m n p r s u v y",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1171702393.435355,7362983.125181,"ops/s",true,UNION,false,,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1164056402.644233,44055709.603622,"ops/s",true,UNION,false,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,2196720.581753,47991.157619,"ops/s",true,UNION,false,nosuchstring,,,IGNORE
