"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: listSize","Param: maxItems","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1659171.507053,37285.116998,"ops/s",UNION,104857600,,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,561927.763630,12891.467801,"ops/s",UNION,104857600,,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,574892.457560,11088.397077,"ops/s",UNION,104857600,,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,46229.034017,2496.522075,"ops/s",UNION,104857600,,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,44862.426585,2033.669232,"ops/s",UNION,104857600,,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,17441.509410,148.158906,"ops/s",UNION,104857600,,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,17394.781602,1138.178690,"ops/s",UNION,104857600,,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1164515916.209656,9483176.188021,"ops/s",UNION,-1,,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1168054075.449328,14249153.958683,"ops/s",UNION,-1,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,3625876.797842,35576.227318,"ops/s",UNION,-1,,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,797887.519832,17780.521989,"ops/s",UNION,-1,,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1626866.926622,30970.063885,"ops/s",UNION,-1,,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1671567.488878,34513.446953,"ops/s",UNION,-1,,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,575881.325403,6110.552672,"ops/s",UNION,-1,,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,572105.544748,14016.756047,"ops/s",UNION,-1,,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,44134.517781,2767.517856,"ops/s",UNION,-1,,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,44715.507580,1350.099517,"ops/s",UNION,-1,,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,17219.325067,890.230638,"ops/s",UNION,-1,,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,17592.262160,618.805970,"ops/s",UNION,-1,,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
