"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: enableInterning","Param: enableParallel","Param: interningEnabled","Param: mergePolicy","Param: parallelEnabled","Param: searchString","Param: targetInstance","Param: targetSize","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.AddDeleteOperations.addAndRemove_mt","thrpt",8,9,20245.870151,2110.341617,"ops/s",,,,,,,,,
"com.zigurs.karlis.utils.search.bench.AddDeleteOperations.addAndRemove_st","thrpt",1,9,26106.923570,2801.465022,"ops/s",,,,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.mt","thrpt",8,9,62337.848147,4322.193040,"ops/s",,,,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.mt:addAndRemove_mt","thrpt",8,9,31865.132244,1032.673425,"ops/s",,,,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.mt:read_mt","thrpt",8,9,30472.715903,4518.539336,"ops/s",,,,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.st","thrpt",2,9,303586.996011,65300.600687,"ops/s",,,,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.st:addAndRemove_st","thrpt",2,9,105953.958965,16151.519441,"ops/s",,,,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.st:read_st","thrpt",2,9,197633.037046,50113.613135,"ops/s",,,,,,,,,
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1107878830.668112,99528730.028279,"ops/s",true,true,,UNION,,,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1115592944.235908,77430273.427310,"ops/s",true,true,,UNION,,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,3099105.566881,131582.351342,"ops/s",true,true,,UNION,,nosuchstring,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,379562.079180,21013.275306,"ops/s",true,true,,UNION,,nosuchstring,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1528701.603161,113001.348167,"ops/s",true,true,,UNION,,washington,,,IGNORE
