"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: fjEnabled","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,284053645.695083,3874754.570525,"ops/s",UNION,104857600,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,780330.156278,17827.439826,"ops/s",UNION,104857600,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,101313.242903,2260.453763,"ops/s",UNION,104857600,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,402344.883990,14053.192548,"ops/s",UNION,104857600,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,401771.558235,4318.594449,"ops/s",UNION,104857600,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,68663.926481,4658.886366,"ops/s",UNION,104857600,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,71568.943859,1983.831761,"ops/s",UNION,104857600,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1577.821195,23.077863,"ops/s",UNION,104857600,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1564.097423,24.076297,"ops/s",UNION,104857600,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,537.671511,11.828560,"ops/s",UNION,104857600,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,539.884779,9.320587,"ops/s",UNION,104857600,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,282662377.350316,2785569.326857,"ops/s",UNION,-1,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,282628097.727205,1481698.439815,"ops/s",UNION,-1,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,785497.277576,16107.046954,"ops/s",UNION,-1,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,101232.383746,3414.304752,"ops/s",UNION,-1,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,408006.077342,6790.173538,"ops/s",UNION,-1,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,400885.361376,12970.607367,"ops/s",UNION,-1,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,71736.213618,2686.336481,"ops/s",UNION,-1,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,71641.658438,762.385899,"ops/s",UNION,-1,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1570.542147,14.038146,"ops/s",UNION,-1,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1575.427078,19.123057,"ops/s",UNION,-1,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,534.748938,5.236138,"ops/s",UNION,-1,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,534.780675,9.315441,"ops/s",UNION,-1,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,283270923.402844,2521397.490610,"ops/s",INTERSECTION,0,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,283091511.806991,5376770.459956,"ops/s",INTERSECTION,0,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,780859.261901,15597.046496,"ops/s",INTERSECTION,0,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,100202.548739,3555.127709,"ops/s",INTERSECTION,0,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,406381.343790,8727.086374,"ops/s",INTERSECTION,0,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,398615.441193,13985.178717,"ops/s",INTERSECTION,0,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,90578.628240,1178.741462,"ops/s",INTERSECTION,0,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,88894.731924,1002.411558,"ops/s",INTERSECTION,0,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1706.126474,34.959051,"ops/s",INTERSECTION,0,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1740.975118,40.148991,"ops/s",INTERSECTION,0,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,652.814764,17.710774,"ops/s",INTERSECTION,0,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,643.079729,13.730501,"ops/s",INTERSECTION,0,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,281841867.680176,2172717.430766,"ops/s",INTERSECTION,1024,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,281555469.018698,2627634.347775,"ops/s",INTERSECTION,1024,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,792291.211539,17682.609628,"ops/s",INTERSECTION,1024,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,99804.988496,2920.233938,"ops/s",INTERSECTION,1024,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,402570.548162,8928.873930,"ops/s",INTERSECTION,1024,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,404622.119954,5912.375816,"ops/s",INTERSECTION,1024,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,88906.374969,1095.342144,"ops/s",INTERSECTION,1024,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,90509.298866,1299.061307,"ops/s",INTERSECTION,1024,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1703.571056,27.613708,"ops/s",INTERSECTION,1024,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1720.412703,15.022277,"ops/s",INTERSECTION,1024,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,645.823678,12.563598,"ops/s",INTERSECTION,1024,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,642.587311,6.977082,"ops/s",INTERSECTION,1024,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,283747231.459333,2567193.969757,"ops/s",INTERSECTION,104857600,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,282563976.220330,9194227.010851,"ops/s",INTERSECTION,104857600,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,768545.652359,4812.041817,"ops/s",INTERSECTION,104857600,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,101411.492743,1188.731030,"ops/s",INTERSECTION,104857600,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,405463.660318,1737.986489,"ops/s",INTERSECTION,104857600,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,403138.821441,18784.432821,"ops/s",INTERSECTION,104857600,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,90840.186741,1987.621072,"ops/s",INTERSECTION,104857600,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,89421.218172,2879.965793,"ops/s",INTERSECTION,104857600,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1761.468380,39.256832,"ops/s",INTERSECTION,104857600,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1726.839009,43.856244,"ops/s",INTERSECTION,104857600,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,651.598587,9.174696,"ops/s",INTERSECTION,104857600,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,657.288520,20.170837,"ops/s",INTERSECTION,104857600,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,284653117.916577,1927487.749920,"ops/s",INTERSECTION,-1,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,282743413.620253,1922467.267516,"ops/s",INTERSECTION,-1,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,778331.494588,16093.944276,"ops/s",INTERSECTION,-1,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,102218.795618,2037.080716,"ops/s",INTERSECTION,-1,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,408824.613962,14194.477141,"ops/s",INTERSECTION,-1,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,405867.612675,12377.422492,"ops/s",INTERSECTION,-1,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,88937.949328,2836.819550,"ops/s",INTERSECTION,-1,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,90267.745974,2334.598043,"ops/s",INTERSECTION,-1,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1727.971409,33.450494,"ops/s",INTERSECTION,-1,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1763.637673,23.438530,"ops/s",INTERSECTION,-1,,"a b c d e",BACKTRACKING
